Frequency, Gain
2868.44, 0.116231
966.983, 0.881288
3786.16, 0.548211
6218.09, 0.0150223
3435.58, 0.472062
3128.27, 1.80093
82.8604, 1.4958
473.997, 2.30689
1265.08, 0.646285
4749.3, 0.221863
1947.93, 0.063663
2318.69, 1.52739
3396.22, 2.33548
455.203, 0.421767
50.2532, 0.323747
926.399, 1.05777
9239.79, 0.292641
805.612, 0.619894
44.811, 0.0610824
685.803, 0.472404
1592.46, 0.0584846
3858.92, 1.51351
2366.54, 0.323151
2353.73, 0.0040391
934.901, 0.690021
1537.82, 0.648784
4348.63, 0.158367
1089.36, 0.198285
26.9087, 0.0287555
332.893, 1.1342
1754.78, 1.16373
2269.87, 0.130528
1554.71, 0.546046
1878.53, 0.636554
416.924, 0.106562
1328.19, 2.16099
1175.55, 0.115652
1582.54, 2.19671
352.849, 0.431611
4893.4, 0.0150247
147.085, 0.254266
884.977, 0.0181451
427.768, 0.518301
438.201, 0.207212
3125.43, 0.243935
2173.62, 0.132678
628.656, 0.365218
196.552, 0.643354
438.747, 0.373575
2672.39, 0.222328
573.217, 0.102227
918.345, 0.10958
542.528, 0.358046
4259.08, 0.100386
1139.44, 0.318432
1364.97, 0.142868
2270.05, 0.106134
4422.63, 0.00199047
1550.95, 1.22655
404.487, 0.140556
2889.89, 0.204569
4701.17, 0.0417931
1085.94, 0.864342
1692.54, 0.643859
2229.55, 0.264287
1493.77, 0.670919
2930.39, 1.85129
4338.99, 0.457771
417.631, 1.20469
2212.17, 0.133422
1564.99, 0.641712
3047.49, 0.0688269
4648.82, 0.936213
2720.27, 0.260917
776.528, 0.568776
1236.57, 0.264204
976.562, 0.598404
2074.53, 0.726791
506.624, 0.325948
319.585, 0.756183
4001.68, 0.359953
1680.74, 0.590331
1738.2, 0.675886
289.523, 0.211378
958.659, 0.518583
924.908, 1.94785
164.082, 0.822883
2014.75, 0.745454
725.07, 0.341561
1900.5, 0.281597
4210.06, 0.227937
4922.48, 0.590376
722.046, 1.90555
892.276, 1.50655
2124.78, 0.0476259
100.38, 1.0364
4268.72, 0.13419
3058.58, 0.405709
208.53, 0.812137
195.345, 1.21205
